[Звук]	[Хороший-плохой][Большой-маленький]	[Нежный-грубый]	[Женственный-мужественный]	[Светлый-тёмный][Активный-пассивный]	[Простой-сложный]	[Сильный-слабый][Горячий-холодный]	[Быстрый-медленный]	[Красивый-отталкивающий][Гладкий-шероховатый]	[Легкий-тяжелый][Веселый-грустный]	[Безопасный-страшный]	[Величественный-низменный]	[Яркий-тусклый]	[Округлый-угловатый]	[Радостный-печальный]	[Громкий-тихий]	[Длинный-короткий]	[Храбрый-трусливый]	[Добрый-злой]	[Могучий-хилый]	[Подвижный-медлительный][Частотность]
ф'	4.2		4.3			2.4		2.2				3.7		4.0			3.9			4.3		2.4			3.7			3.4			3.8			2.8		3.2			3.2			4.5				4.3		3.2			4.1			4.4		3.9			4.2			3.2		3.9		4.0			0.001
м'	3.1		3.7			2.1		2.0				2.6		3.1			3.6			3.5		2.9			3.4			3.3			2.6			3.2		2.7			2.2			3.2				3.2		2.8			2.8			3.0		4.0			3.3			1.9		3.7		3.7			0.007
з'	3.4		3.6			2.4		2.6				2.4		2.8			3.5			2.8		3.0			3.1			3.2			3.8			2.9		2.4			2.9			3.4				2.2		3.3			2.8			2.7		3.4			3.1			3.1		3.4		3.0			0.002
б	2.4		2.1			4.2		4.3				3.2		2.0			3.0			2.1		3.7			1.9			2.6			3.2			2.6		2.9			3.2			2.1				2.0		3.4			2.5			2.0		3.8			2.1			3.3		1.6		2.0			0.013
у	3.0		2.2			3.0		3.8				3.6		3.2			1.7			2.8		3.6			4.3			2.9			1.8			2.3		4.0			3.6			3.6				3.7		2.6			3.8			2.3		1.9			2.3			3.3		2.9		4.0			0.017
у\	3.0		2.2			3.0		3.8				3.6		3.2			1.7			2.8		3.6			4.3			2.9			1.8			2.3		4.0			3.6			3.6				3.7		2.6			3.8			2.3		1.9			2.3			3.3		2.9		4.0			0.012
к'	3.7		4.2			2.4		2.5				3.2		3.0			3.5			4.5		2.2			1.9			3.4			3.9			2.6		2.5			3.0			4.0				3.8		3.8			3.3			4.4		4.4			3.7			3.0		4.0		2.3			0.003
х	4.1		3.4			3.6		3.6				4.1		3.8			3.1			3.4		3.4			3.7			3.9			4.2			3.3		3.4			4.1			4.0				4.1		3.9			4.0			4.2		3.8			3.4			3.5		3.4		3.7			0.008
л	2.1		2.2			3.3		3.5				3.1		2.5			3.3			2.2		3.6			3.5			2.3			2.6			3.2		3.0			2.5			2.0				2.4		3.1			2.5			2.3		3.4			2.3			3.3		2.1		3.4			0.020
т	3.0		3.1			3.6		3.1				4.0		3.2			3.2			3.4		2.8			2.0			3.2			3.8			3.2		3.6			3.4			3.2				3.8		4.1			3.3			4.4		4.4			3.5			3.4		3.3		2.5			0.055
е	1.9		2.8			2.2		2.9				1.9		2.4			1.9			2.1		3.0			3.8			1.7			2.4			2.4		2.5			2.2			2.6				3.6		2.2			2.7			2.9		2.5			2.2			2.7		2.3		3.3			0.050
е\	1.9		2.8			2.2		2.9				1.9		2.4			1.9			2.1		3.0			3.8			1.7			2.4			2.4		2.5			2.2			2.6				3.6		2.2			2.7			2.9		2.5			2.2			2.7		2.3		3.3			0.039
ч	3.0		3.9			3.4		2.7				3.3		3.0			3.4			3.8		1.8			2.0			3.0			4.6			3.3		2.9			3.4			3.6				3.3		3.8			3.2			4.0		4.1			3.5			3.3		3.6		2.5			0.020
ч'	3.0		3.9			3.4		2.7				3.3		3.0			3.4			3.8		1.8			2.0			3.0			4.6			3.3		2.9			3.4			3.6				3.3		3.8			3.2			4.0		4.1			3.5			3.3		3.6		2.5			0.020
щ	3.5		3.8			2.7		2.5				3.8		4.0			4.0			4.2		1.8			3.8			3.7			4.4			3.4		3.4			4.3			4.4				3.9		3.6			4.2			4.0		2.7			4.1			3.3		4.0		3.5			0.003
щ'	3.5		3.8			2.7		2.5				3.8		4.0			4.0			4.2		1.8			3.8			3.7			4.4			3.4		3.4			4.3			4.4				3.9		3.6			4.2			4.0		2.7			4.1			3.3		4.0		3.5			0.003
о	1.6		1.3			3.2		3.7				2.2		2.2			1.2			1.7		3.7			3.6			1.9			1.5			2.5		2.9			2.8			1.6				1.8		1.4			2.7			1.4		1.7			1.8			2.7		1.7		2.7			0.067
о\	1.6		1.3			3.2		3.7				2.2		2.2			1.2			1.7		3.7			3.6			1.9			1.5			2.5		2.9			2.8			1.6				1.8		1.4			2.7			1.4		1.7			1.8			2.7		1.7		2.7			0.037
